171146,213419,183418,191674,165941,672852,150345,164729,262347,202539,256628,573162,334284,149586,204200,212583,241076,133116,377110,185552,479029
172177,215263,184564,192688,166805,702009,153547,166114,263464,202919,258823,575333,347486,149960,205593,215482,243176,133160,378964,186907,480291
173208,217107,185710,193702,167669,731166,156749,167499,264581,203299,261018,577504,360688,150334,206986,218381,245276,133204,380818,188262,481553
174239,218959,186856,194716,168533,760323,159951,168884,265698,203679,263213,579675,373890,150708,208379,221280,247376,133248,382672,189617,482815
175270,220011,188002,195730,169397,789480,163153,170269,266815,204059,265408,581846,387092,151086,209772,224179,249476,133292,384526,190972,484077
176301,221063,189148,196744,170261,818637,166355,171654,267932,204439,267603,584017,400294,152606,211165,227078,251576,133336,386380,192327,485339
177332,222115,190294,197758,171125,847794,169557,173039,269049,204819,269798,586188,413496,154126,212558,229977,253676,133380,388234,193682,486601
178363,223167,191440,198772,171989,876951,172759,174424,270166,205199,271993,588359,426691,155646,213951,232876,255776,133424,390088,194999,487863
178336,224219,192586,199786,172853,906108,175961,175809,271283,205578,274188,590530,472853,157166,215344,235775,257876,133468,391942,196773,488228
179580,225271,193732,200800,173717,935265,179163,177194,272400,210093,276383,592701,479868,158686,216737,238675,259976,133512,393796,198547,488593
180824,226323,194878,201814,174581,964422,182365,178579,273517,214608,278578,594872,486883,160206,218130,239071,262076,133556,395650,200321,488958
182068,227378,196024,202828,175445,993579,185567,179964,274645,219123,280773,597043,493898,161726,219523,239467,264176,133600,397504,202095,489323
183312,228600,197170,203842,176309,1022736,188769,181349,280667,223638,282968,599214,500913,163246,220916,239863,266276,133644,399358,203869,489688
184556,229822,198316,204856,177171,1051893,191968,182734,286689,228153,285163,601385,507928,164766,222309,240259,268376,133688,401212,205643,490053
185800,231044,199462,205870,178350,1081050,192605,184128,292711,232668,287358,603556,514943,166286,223702,240654,270476,133732,403066,207417,490418
187044,232266,200608,206884,179529,1110207,193242,187369,298733,237183,289553,605727,521958,167806,225095,241681,272576,133776,404920,209191,490783
188288,233488,201754,207898,180708,1139364,193879,190610,304755,241698,291756,607898,528973,169326,226488,242708,274676,133820,406774,210965,491148
189532,234710,202900,208912,181887,1168521,194516,193851,310777,246213,292614,610069,535988,170846,227881,243735,276776,133864,408628,212739,491513
190776,235932,204046,209926,183066,1197678,195153,197092,316799,250728,293472,612240,543003,172366,229274,244762,278876,133908,410488,214513,491878
192020,237154,205195,210940,184245,1226835,195790,200333,322821,255243,294330,614411,550018,173886,230667,245789,280976,133952,411541,216287,492243
193264,238376,206423,211954,185424,1255992,196427,203574,328843,259758,295188,616582,557033,175406,232060,246816,283076,133996,412594,218061,492608
194508,239598,207651,212968,186603,1285149,197064,206815,334865,264273,296046,618753,564043,176926,233453,247843,285176,134040,413647,219835,492973
195752,240820,208879,213982,187732,1314306,197701,210056,340887,268788,296904,620914,564503,178446,234846,248870,287276,134084,414700,221609,493338
196996,242042,210107,214996,187623,1343463,198338,213297,346909,273303,297762,623335,564963,179966,236239,249897,289376,134128,415753,223383,493703
198240,243264,211335,216010,187514,1372620,198979,216538,352931,277818,298620,625756,565423,181486,237632,250924,291476,134172,416806,225157,494068
199484,244486,212563,217024,187405,1401777,201589,219779,358953,282333,299478,628177,565883,183006,239025,251951,293576,134214,417859,226931,494433
200728,245708,213791,218038,187296,1430934,204199,223020,364975,286848,300336,630598,566343,184526,240418,252978,295676,135222,418912,226939,494798
201972,246930,215019,219052,187187,1460091,206809,226261,370997,291363,301194,633019,566803,186046,241811,254005,297776,136230,419965,228840,495163
203222,248152,216247,220063,187078,1489248,209419,229496,377019,295878,302052,635440,567263,187566,243204,255032,299876,137238,421018,230741,495528
205259,249374,217475,220533,186969,1518405,212029,233959,383041,300393,302910,637861,567927,189086,244597,257093,301976,138246,422071,232642,495893
207296,250596,218703,221003,186860,1547562,214639,238422,389063,304908,303768,640282,568591,190606,245990,258664,304076,139254,423124,234543,496258
209333,251818,219931,221473,186751,1576719,217249,242885,395085,309423,304626,642703,569255,192123,247383,260235,306176,140262,424177,236444,496612
211370,253040,221159,221943,186642,1605876,219859,247348,401107,313938,305484,645124,569919,196083,248776,261806,308276,141270,425230,238345,503510
213407,254262,222387,222413,186533,1635033,222469,251811,407129,318453,306342,647545,570581,200043,250169,263377,310376,142278,426283,240246,510408
215444,255484,223615,222882,186425,1664190,225079,256274,413151,322968,307196,649966,572892,204003,251562,264948,312476,143286,427336,242147,517306
217481,256706,224843,230326,188368,1693347,227689,260737,419173,327483,310878,652387,575203,207964,252955,266519,314576,144294,428389,244048,524205
219518,257928,226071,237770,190311,1722504,230299,265200,425195,331998,314560,654808,577514,208177,254348,268090,316676,145302,429442,245949,525751
221555,259150,227299,245214,192254,1751661,232909,269663,431217,336513,318242,657229,579825,208390,255741,269661,318776,146310,430495,247850,527297
223592,260372,228527,252658,194197,1780812,235519,274126,437239,341028,321924,659650,582136,208603,257134,271232,320876,147318,431548,249751,528843
225629,261594,229755,260102,196140,1789040,238129,278589,443261,345529,325606,662071,584447,208816,258527,272803,322976,148326,432601,251652,530389
227666,262816,230983,267546,198083,1797268,240739,283052,449283,347955,329288,664492,586758,209029,259920,274374,325076,149334,433654,253553,531935
229703,264038,232211,274990,200026,1805496,243349,287515,455305,350381,332970,666913,589069,209242,261313,275945,327176,150342,434707,255454,533481
231740,265260,233443,282434,201969,1813724,245959,291984,461327,352807,336652,669334,591380,209453,262690,277516,329276,151350,435760,257355,535027
233777,266482,234413,289878,203912,1821952,248569,292908,467349,355233,340334,671755,593691,210725,265023,279087,331376,152358,436813,259256,536573
235814,267704,235383,297321,205855,1830180,251179,293832,473371,357659,344016,674176,596002,211997,267356,280658,333476,153366,437866,261157,538119
237851,268926,236353,302609,207797,1838408,253789,294756,479393,360084,347698,676597,598313,213269,269689,282229,335576,154374,438919,263058,539665
239888,270148,237323,307897,208628,1846636,256399,295680,485415,362445,351380,679018,600624,214541,272022,283800,337676,155382,439972,264959,541211
241925,272599,238293,313185,209459,1854864,259009,296604,491437,364806,355062,681439,602935,215813,274355,285371,339776,156390,441025,266860,542757
243962,276019,239263,318473,210290,1863092,261626,297528,497459,367167,358744,683860,605246,217085,276688,286942,341876,157398,442078,268761,544303
245999,279439,240233,323761,211121,1871320,262597,298452,503481,369528,362426,686281,607557,218357,279021,288513,343976,158406,443131,270662,545849
248036,282859,241203,329049,211952,1879548,263568,299376,509503,371889,364858,688702,609868,219629,281354,290084,346076,159414,444184,272563,547395
250073,286279,242173,334337,212783,1887776,264539,300300,515525,374250,367290,691123,612179,220901,283687,291655,348176,160422,445237,274464,548941
250078,289699,243143,339625,213614,1896004,265510,301224,521547,376611,369722,693544,614490,222173,286020,293226,350295,161430,446290,276365,550487
250649,293119,244113,344913,214445,1904232,266481,302148,527569,378972,372154,695965,616801,223445,288353,294797,346281,162438,447343,278266,552039
251220,296539,245083,350201,215276,1912460,267452,303072,533591,381333,374586,698386,619112,224717,290686,296368,342267,163446,448396,280167,554449
251791,299959,246053,355489,216107,1920688,268423,303996,539613,383694,377018,700816,621423,225989,293019,297939,338253,164454,449449,282068,556859
